userid;register_time;country;;;;
10310;02/03/2017;TW;;;;
10313;20/03/2017;SG;;;;
10323;26/03/2017;TW;;;;
10330;02/05/2017;VN;;;;
10333;10/01/2017;TH;;;;
10341;09/03/2017;TH;;;;
10347;02/03/2017;TH;;;;
10353;27/04/2017;SG;;;;
10360;31/05/2017;PH;;;;
10366;05/03/2017;ID;;;;
10376;31/05/2017;PH;;;;
10384;22/02/2017;PH;;;;
10389;17/03/2017;PH;;;;
10391;11/02/2017;VN;;;;
10393;12/05/2017;TH;;;;
10398;11/04/2017;SG;;;;
10399;03/05/2017;TW;;;;
10402;14/03/2017;VN;;;;
10409;22/04/2017;TH;;;;
10410;16/04/2017;ID;;;;
10415;12/05/2017;TH;;;;
10422;01/04/2017;SG;;;;
10425;29/04/2017;PH;;;;
10429;18/02/2017;PH;;;;
10431;02/01/2017;MY;;;;
10436;09/05/2017;TW;;;;
10443;13/04/2017;ID;;;;
10449;21/04/2017;PH;;;;
10457;27/02/2017;VN;;;;
10458;20/03/2017;ID;;;;
10467;08/03/2017;VN;;;;
10475;24/03/2017;ID;;;;
10477;10/04/2017;ID;;;;
10486;22/03/2017;TH;;;;
10495;30/04/2017;SG;;;;
10497;06/05/2017;SG;;;;
10505;03/03/2017;TH;;;;
10508;11/05/2017;ID;;;;
10518;24/03/2017;TH;;;;
10527;17/02/2017;TH;;;;
10533;19/05/2017;ID;;;;
10537;01/06/2017;SG;;;;
10538;08/02/2017;TW;;;;
10545;27/05/2017;VN;;;;
10555;18/05/2017;MY;;;;
10565;07/03/2017;TW;;;;
10566;04/05/2017;PH;;;;
10572;29/04/2017;ID;;;;
10574;30/03/2017;ID;;;;
10575;15/03/2017;ID;;;;
10576;21/04/2017;MY;;;;
10586;28/02/2017;SG;;;;
10596;21/04/2017;MY;;;;
10597;14/05/2017;TW;;;;
10600;13/02/2017;TW;;;;
10606;03/05/2017;PH;;;;
10614;05/04/2017;PH;;;;
10621;07/02/2017;MY;;;;
10623;19/05/2017;PH;;;;
10630;16/03/2017;TW;;;;
10633;12/01/2017;SG;;;;
10643;05/02/2017;PH;;;;
10648;01/04/2017;ID;;;;
10650;25/02/2017;ID;;;;
10658;02/01/2017;TW;;;;
10666;03/02/2017;MY;;;;
10672;07/01/2017;PH;;;;
10681;26/04/2017;VN;;;;
10690;13/05/2017;MY;;;;
10692;29/03/2017;PH;;;;
10694;25/05/2017;VN;;;;
10703;30/01/2017;SG;;;;
10709;06/02/2017;PH;;;;
10715;23/02/2017;PH;;;;
10718;29/03/2017;TW;;;;
10719;11/04/2017;TH;;;;
10726;16/01/2017;SG;;;;
10733;31/03/2017;ID;;;;
10737;17/04/2017;ID;;;;
10738;12/02/2017;ID;;;;
10746;27/04/2017;ID;;;;
10750;07/04/2017;ID;;;;
10754;08/02/2017;SG;;;;
10760;10/01/2017;MY;;;;
10764;23/03/2017;SG;;;;
10773;04/02/2017;TW;;;;
10775;23/03/2017;VN;;;;
10784;03/02/2017;MY;;;;
10790;11/04/2017;TH;;;;
10794;07/05/2017;PH;;;;
10795;01/01/2017;MY;;;;
10797;04/03/2017;ID;;;;
10799;11/01/2017;TW;;;;
10809;29/04/2017;TW;;;;
10812;06/02/2017;PH;;;;
10815;27/03/2017;PH;;;;
10825;02/01/2017;MY;;;;
10833;15/05/2017;TH;;;;
10841;24/02/2017;PH;;;;
10851;28/03/2017;SG;;;;
10858;06/03/2017;VN;;;;
10865;11/03/2017;SG;;;;
10869;28/02/2017;PH;;;;
10874;17/05/2017;ID;;;;
10880;19/03/2017;ID;;;;
10886;16/03/2017;VN;;;;
10896;27/04/2017;ID;;;;
10897;07/01/2017;ID;;;;
10898;22/05/2017;TH;;;;
10903;13/04/2017;TH;;;;
10905;19/02/2017;ID;;;;
10911;03/01/2017;TH;;;;
10913;08/04/2017;VN;;;;
10914;21/04/2017;ID;;;;
10921;23/04/2017;PH;;;;
10930;29/04/2017;PH;;;;
10938;07/02/2017;PH;;;;
10948;21/01/2017;TH;;;;
10957;23/03/2017;PH;;;;
10958;14/04/2017;PH;;;;
10962;20/04/2017;PH;;;;
10963;14/05/2017;TH;;;;
10969;02/02/2017;ID;;;;
10971;09/01/2017;PH;;;;
10981;27/01/2017;VN;;;;
10987;08/03/2017;TH;;;;
10992;17/04/2017;VN;;;;
10996;10/05/2017;TH;;;;
11002;07/03/2017;TH;;;;
11006;27/05/2017;TH;;;;
11012;05/02/2017;TW;;;;
11020;04/03/2017;PH;;;;
11024;21/01/2017;ID;;;;
11028;22/01/2017;MY;;;;
11029;18/03/2017;MY;;;;
11032;30/04/2017;VN;;;;
11042;21/03/2017;ID;;;;
11050;22/05/2017;MY;;;;
11056;10/01/2017;VN;;;;
11058;23/01/2017;MY;;;;
11062;25/04/2017;VN;;;;
11070;19/02/2017;SG;;;;
11073;15/01/2017;ID;;;;
11082;17/02/2017;PH;;;;
11092;21/03/2017;SG;;;;
11102;01/01/2017;VN;;;;
11109;24/03/2017;SG;;;;
11112;20/03/2017;MY;;;;
11119;17/01/2017;VN;;;;
11124;09/04/2017;TW;;;;
11130;23/02/2017;TH;;;;
11137;06/04/2017;VN;;;;
11146;30/03/2017;TH;;;;
11156;04/03/2017;PH;;;;
11164;30/03/2017;MY;;;;
11172;26/05/2017;ID;;;;
11173;10/02/2017;VN;;;;
11180;29/03/2017;TW;;;;
11187;16/05/2017;ID;;;;
11194;18/02/2017;PH;;;;
11195;22/05/2017;VN;;;;
11201;02/03/2017;PH;;;;
11203;11/05/2017;VN;;;;
11210;31/01/2017;SG;;;;
11216;06/01/2017;SG;;;;
11221;09/02/2017;MY;;;;
11231;28/04/2017;ID;;;;
11236;13/02/2017;TH;;;;
11246;12/02/2017;ID;;;;
11254;17/01/2017;PH;;;;
11259;18/05/2017;MY;;;;
11264;30/01/2017;SG;;;;
11269;28/03/2017;ID;;;;
11278;16/05/2017;VN;;;;
11288;08/04/2017;VN;;;;
11293;27/04/2017;TW;;;;
11300;17/05/2017;PH;;;;
11302;20/05/2017;PH;;;;
11311;18/02/2017;MY;;;;
11314;04/02/2017;SG;;;;
11315;14/04/2017;PH;;;;
11316;28/05/2017;SG;;;;
11320;14/04/2017;VN;;;;
11329;28/01/2017;VN;;;;
11330;08/04/2017;MY;;;;
11339;01/06/2017;PH;;;;
11349;15/05/2017;TH;;;;
11352;23/04/2017;PH;;;;
11357;19/03/2017;TW;;;;
11367;17/03/2017;TH;;;;
11370;11/03/2017;TW;;;;
11374;03/02/2017;TH;;;;
11381;03/04/2017;TW;;;;
11391;10/02/2017;TW;;;;
11395;08/03/2017;MY;;;;
11405;27/04/2017;VN;;;;
11414;09/05/2017;MY;;;;
11421;24/03/2017;ID;;;;
11422;26/02/2017;MY;;;;
11427;28/02/2017;ID;;;;
11435;05/03/2017;MY;;;;
11441;25/02/2017;TH;;;;
11444;22/02/2017;TH;;;;
11448;18/04/2017;TW;;;;
11456;03/03/2017;VN;;;;
11466;07/03/2017;VN;;;;
11471;06/02/2017;ID;;;;
11477;08/04/2017;PH;;;;
11481;21/02/2017;SG;;;;
11490;16/04/2017;MY;;;;
11496;31/03/2017;PH;;;;
11501;29/04/2017;VN;;;;
11508;22/01/2017;TH;;;;
11518;02/03/2017;TW;;;;
11519;20/01/2017;MY;;;;
11526;09/01/2017;TW;;;;
11531;14/02/2017;MY;;;;
11534;01/02/2017;ID;;;;
11542;04/01/2017;PH;;;;
11543;04/03/2017;TW;;;;
11544;14/05/2017;ID;;;;
11547;17/03/2017;VN;;;;
11548;03/03/2017;VN;;;;
11550;04/05/2017;PH;;;;
11553;22/01/2017;ID;;;;
11555;29/01/2017;MY;;;;
11563;23/04/2017;ID;;;;
11566;19/01/2017;TH;;;;
11571;02/02/2017;VN;;;;
11581;06/02/2017;TW;;;;
11590;26/05/2017;VN;;;;
11598;07/02/2017;ID;;;;
11601;20/03/2017;ID;;;;
11610;19/01/2017;TH;;;;
11612;21/02/2017;TH;;;;
11618;07/01/2017;SG;;;;
11619;04/03/2017;VN;;;;
11629;01/06/2017;MY;;;;
11639;11/01/2017;MY;;;;
11640;20/01/2017;TW;;;;
11648;03/02/2017;TW;;;;
11657;07/01/2017;PH;;;;
11662;10/03/2017;MY;;;;
11667;10/03/2017;VN;;;;
11676;24/04/2017;TW;;;;
11681;09/04/2017;SG;;;;
11691;16/05/2017;TW;;;;
11697;15/04/2017;SG;;;;
11706;15/03/2017;TW;;;;
11708;18/02/2017;MY;;;;
11713;03/03/2017;MY;;;;
11716;02/04/2017;TW;;;;
11725;16/01/2017;VN;;;;
11727;22/05/2017;TW;;;;
11737;13/05/2017;SG;;;;
11738;15/05/2017;VN;;;;
11742;21/03/2017;TW;;;;
11746;19/02/2017;TH;;;;
11749;21/02/2017;MY;;;;
11750;23/04/2017;TH;;;;
11759;13/03/2017;VN;;;;
